global_idx,sub_idx,frame_idx,name,top_sc_px,bot_sc_px,end_ed_px,sc_thickness_mm,ed_thickness_mm,total_thickness_mm,surface_disp_mm
89,0,89,0_89,93.544921875,100.0830078125,130.2587890625,0.0326904296875,0.15087890625,0.1835693359375,0.105615234375
90,0,90,0_90,94.55078125,100.5859375,128.2470703125,0.03017578125,0.1383056640625,0.1684814453125,0.11064453125
91,0,91,0_91,95.0537109375,101.591796875,130.2587890625,0.0326904296875,0.1433349609375,0.176025390625,0.1131591796875
92,0,92,0_92,95.556640625,102.0947265625,132.2705078125,0.0326904296875,0.15087890625,0.1835693359375,0.115673828125
93,0,93,0_93,96.5625,103.1005859375,133.2763671875,0.0326904296875,0.15087890625,0.1835693359375,0.120703125
94,0,94,0_94,97.568359375,104.609375,133.779296875,0.035205078125,0.145849609375,0.1810546875,0.125732421875
95,0,95,0_95,98.57421875,104.609375,131.767578125,0.03017578125,0.135791015625,0.165966796875,0.13076171875
96,0,96,0_96,99.580078125,105.615234375,132.7734375,0.03017578125,0.135791015625,0.165966796875,0.135791015625
97,0,97,0_97,99.580078125,106.62109375,139.3115234375,0.035205078125,0.1634521484375,0.1986572265625,0.135791015625
98,0,98,0_98,100.5859375,107.1240234375,136.796875,0.0326904296875,0.1483642578125,0.1810546875,0.1408203125
99,0,99,0_99,101.591796875,108.6328125,135.2880859375,0.035205078125,0.1332763671875,0.1684814453125,0.145849609375
100,0,100,0_100,102.59765625,109.1357421875,139.814453125,0.0326904296875,0.1533935546875,0.186083984375,0.15087890625
101,1,1,1_1,103.603515625,109.638671875,139.814453125,0.03017578125,0.15087890625,0.1810546875,0.155908203125
102,1,2,1_2,103.603515625,110.64453125,139.814453125,0.035205078125,0.145849609375,0.1810546875,0.155908203125
103,1,3,1_3,104.609375,111.1474609375,139.814453125,0.0326904296875,0.1433349609375,0.176025390625,0.1609375
104,1,4,1_4,105.615234375,111.650390625,138.80859375,0.03017578125,0.135791015625,0.165966796875,0.165966796875
105,1,5,1_5,107.1240234375,113.1591796875,143.837890625,0.03017578125,0.1533935546875,0.1835693359375,0.1735107421875
106,1,6,1_6,107.626953125,113.662109375,143.837890625,0.03017578125,0.15087890625,0.1810546875,0.176025390625
107,1,7,1_7,107.626953125,113.1591796875,143.837890625,0.0276611328125,0.1533935546875,0.1810546875,0.176025390625
108,1,8,1_8,107.1240234375,113.1591796875,143.837890625,0.03017578125,0.1533935546875,0.1835693359375,0.1735107421875
109,1,9,1_9,107.626953125,113.1591796875,140.3173828125,0.0276611328125,0.135791015625,0.1634521484375,0.176025390625
110,1,10,1_10,108.6328125,114.1650390625,143.837890625,0.0276611328125,0.1483642578125,0.176025390625,0.1810546875
111,1,11,1_11,107.626953125,114.1650390625,143.3349609375,0.0326904296875,0.145849609375,0.1785400390625,0.176025390625
112,1,12,1_12,107.626953125,113.1591796875,142.3291015625,0.0276611328125,0.145849609375,0.1735107421875,0.176025390625
113,1,13,1_13,108.6328125,114.1650390625,144.3408203125,0.0276611328125,0.15087890625,0.1785400390625,0.1810546875
114,1,14,1_14,108.1298828125,114.66796875,144.3408203125,0.0326904296875,0.1483642578125,0.1810546875,0.1785400390625
115,1,15,1_15,108.6328125,114.66796875,144.84375,0.03017578125,0.15087890625,0.1810546875,0.1810546875
116,1,16,1_16,108.1298828125,114.66796875,144.84375,0.0326904296875,0.15087890625,0.1835693359375,0.1785400390625
117,1,17,1_17,108.6328125,114.66796875,145.849609375,0.03017578125,0.155908203125,0.186083984375,0.1810546875
118,1,18,1_18,108.6328125,114.1650390625,146.85546875,0.0276611328125,0.1634521484375,0.19111328125,0.1810546875
119,1,19,1_19,107.1240234375,114.66796875,144.84375,0.0377197265625,0.15087890625,0.1885986328125,0.1735107421875
120,1,20,1_20,107.1240234375,114.66796875,144.84375,0.0377197265625,0.15087890625,0.1885986328125,0.1735107421875
121,1,21,1_21,108.1298828125,114.66796875,146.85546875,0.0326904296875,0.1609375,0.1936279296875,0.1785400390625
122,1,22,1_22,107.626953125,114.66796875,143.837890625,0.035205078125,0.145849609375,0.1810546875,0.176025390625
123,1,23,1_23,108.6328125,114.66796875,146.85546875,0.03017578125,0.1609375,0.19111328125,0.1810546875
124,1,24,1_24,108.6328125,115.1708984375,146.3525390625,0.0326904296875,0.155908203125,0.1885986328125,0.1810546875
125,1,25,1_25,108.6328125,115.1708984375,146.3525390625,0.0326904296875,0.155908203125,0.1885986328125,0.1810546875
126,1,26,1_26,109.1357421875,115.673828125,145.3466796875,0.0326904296875,0.1483642578125,0.1810546875,0.1835693359375
127,1,27,1_27,109.638671875,115.673828125,146.3525390625,0.03017578125,0.1533935546875,0.1835693359375,0.186083984375
128,1,28,1_28,109.638671875,116.1767578125,147.3583984375,0.0326904296875,0.155908203125,0.1885986328125,0.186083984375
129,1,29,1_29,109.638671875,116.6796875,146.85546875,0.035205078125,0.15087890625,0.186083984375,0.186083984375
130,1,30,1_30,109.638671875,116.6796875,146.85546875,0.035205078125,0.15087890625,0.186083984375,0.186083984375
131,1,31,1_31,109.638671875,116.1767578125,146.85546875,0.0326904296875,0.1533935546875,0.186083984375,0.186083984375
132,1,32,1_32,109.638671875,116.6796875,146.85546875,0.035205078125,0.15087890625,0.186083984375,0.186083984375
133,1,33,1_33,110.1416015625,116.6796875,149.3701171875,0.0326904296875,0.1634521484375,0.196142578125,0.1885986328125
134,1,34,1_34,110.64453125,116.6796875,149.873046875,0.03017578125,0.165966796875,0.196142578125,0.19111328125
135,1,35,1_35,110.64453125,116.6796875,146.85546875,0.03017578125,0.15087890625,0.1810546875,0.19111328125
136,1,36,1_36,110.1416015625,116.6796875,147.3583984375,0.0326904296875,0.1533935546875,0.186083984375,0.1885986328125
137,1,37,1_37,110.64453125,117.1826171875,145.3466796875,0.0326904296875,0.1408203125,0.1735107421875,0.19111328125
138,1,38,1_38,110.1416015625,116.6796875,146.85546875,0.0326904296875,0.15087890625,0.1835693359375,0.1885986328125
139,1,39,1_39,110.64453125,117.1826171875,146.85546875,0.0326904296875,0.1483642578125,0.1810546875,0.19111328125
140,1,40,1_40,110.64453125,117.685546875,146.85546875,0.035205078125,0.145849609375,0.1810546875,0.19111328125
141,1,41,1_41,111.1474609375,117.685546875,147.3583984375,0.0326904296875,0.1483642578125,0.1810546875,0.1936279296875
142,1,42,1_42,110.64453125,116.6796875,146.85546875,0.03017578125,0.15087890625,0.1810546875,0.19111328125
143,1,43,1_43,109.638671875,116.6796875,146.85546875,0.035205078125,0.15087890625,0.186083984375,0.186083984375
144,1,44,1_44,110.64453125,117.1826171875,146.85546875,0.0326904296875,0.1483642578125,0.1810546875,0.19111328125
145,1,45,1_45,110.64453125,117.685546875,146.85546875,0.035205078125,0.145849609375,0.1810546875,0.19111328125
146,1,46,1_46,110.64453125,117.685546875,146.85546875,0.035205078125,0.145849609375,0.1810546875,0.19111328125
147,1,47,1_47,110.64453125,117.685546875,146.3525390625,0.035205078125,0.1433349609375,0.1785400390625,0.19111328125
148,1,48,1_48,110.64453125,117.1826171875,146.85546875,0.0326904296875,0.1483642578125,0.1810546875,0.19111328125
149,1,49,1_49,110.1416015625,116.6796875,151.3818359375,0.0326904296875,0.1735107421875,0.206201171875,0.1885986328125
150,1,50,1_50,110.1416015625,117.1826171875,146.85546875,0.035205078125,0.1483642578125,0.1835693359375,0.1885986328125
151,1,51,1_51,111.1474609375,118.1884765625,148.3642578125,0.035205078125,0.15087890625,0.186083984375,0.1936279296875
152,1,52,1_52,111.1474609375,118.1884765625,147.861328125,0.035205078125,0.1483642578125,0.1835693359375,0.1936279296875
153,1,53,1_53,110.64453125,117.685546875,145.849609375,0.035205078125,0.1408203125,0.176025390625,0.19111328125
154,1,54,1_54,110.64453125,117.685546875,145.3466796875,0.035205078125,0.1383056640625,0.1735107421875,0.19111328125
155,1,55,1_55,110.64453125,117.685546875,145.849609375,0.035205078125,0.1408203125,0.176025390625,0.19111328125
156,1,56,1_56,111.650390625,118.1884765625,148.3642578125,0.0326904296875,0.15087890625,0.1835693359375,0.196142578125
157,1,57,1_57,111.1474609375,118.1884765625,146.3525390625,0.035205078125,0.1408203125,0.176025390625,0.1936279296875
158,1,58,1_58,111.1474609375,118.69140625,146.85546875,0.0377197265625,0.1408203125,0.1785400390625,0.1936279296875
159,1,59,1_59,109.638671875,116.6796875,144.84375,0.035205078125,0.1408203125,0.176025390625,0.186083984375
160,1,60,1_60,109.638671875,117.1826171875,145.849609375,0.0377197265625,0.1433349609375,0.1810546875,0.186083984375
161,1,61,1_61,109.1357421875,117.1826171875,144.84375,0.040234375,0.1383056640625,0.1785400390625,0.1835693359375
162,1,62,1_62,109.638671875,116.6796875,144.84375,0.035205078125,0.1408203125,0.176025390625,0.186083984375
163,1,63,1_63,108.6328125,116.6796875,144.84375,0.040234375,0.1408203125,0.1810546875,0.1810546875
164,1,64,1_64,108.6328125,116.6796875,144.3408203125,0.040234375,0.1383056640625,0.1785400390625,0.1810546875
165,1,65,1_65,108.6328125,116.1767578125,146.85546875,0.0377197265625,0.1533935546875,0.19111328125,0.1810546875
166,1,66,1_66,108.6328125,116.1767578125,144.84375,0.0377197265625,0.1433349609375,0.1810546875,0.1810546875
167,1,67,1_67,108.6328125,115.673828125,144.3408203125,0.035205078125,0.1433349609375,0.1785400390625,0.1810546875
168,1,68,1_68,109.1357421875,116.1767578125,144.84375,0.035205078125,0.1433349609375,0.1785400390625,0.1835693359375
169,1,69,1_69,109.638671875,116.6796875,144.84375,0.035205078125,0.1408203125,0.176025390625,0.186083984375
170,1,70,1_70,109.1357421875,116.1767578125,143.837890625,0.035205078125,0.1383056640625,0.1735107421875,0.1835693359375
171,1,71,1_71,108.6328125,115.673828125,144.84375,0.035205078125,0.145849609375,0.1810546875,0.1810546875
172,1,72,1_72,108.6328125,116.6796875,144.84375,0.040234375,0.1408203125,0.1810546875,0.1810546875
173,1,73,1_73,109.638671875,116.6796875,145.3466796875,0.035205078125,0.1433349609375,0.1785400390625,0.186083984375
174,1,74,1_74,108.6328125,115.673828125,144.3408203125,0.035205078125,0.1433349609375,0.1785400390625,0.1810546875
175,1,75,1_75,108.1298828125,115.673828125,144.84375,0.0377197265625,0.145849609375,0.1835693359375,0.1785400390625
176,1,76,1_76,108.1298828125,115.673828125,144.84375,0.0377197265625,0.145849609375,0.1835693359375,0.1785400390625
177,1,77,1_77,107.626953125,114.66796875,144.3408203125,0.035205078125,0.1483642578125,0.1835693359375,0.176025390625
178,1,78,1_78,107.626953125,114.66796875,146.85546875,0.035205078125,0.1609375,0.196142578125,0.176025390625
179,1,79,1_79,107.1240234375,115.1708984375,143.837890625,0.040234375,0.1433349609375,0.1835693359375,0.1735107421875
180,1,80,1_80,107.626953125,114.66796875,144.84375,0.035205078125,0.15087890625,0.186083984375,0.176025390625
181,1,81,1_81,107.1240234375,114.66796875,143.3349609375,0.0377197265625,0.1433349609375,0.1810546875,0.1735107421875
182,1,82,1_82,107.1240234375,114.66796875,142.83203125,0.0377197265625,0.1408203125,0.1785400390625,0.1735107421875
183,1,83,1_83,107.1240234375,113.662109375,142.83203125,0.0326904296875,0.145849609375,0.1785400390625,0.1735107421875
184,1,84,1_84,107.1240234375,113.662109375,142.83203125,0.0326904296875,0.145849609375,0.1785400390625,0.1735107421875
185,1,85,1_85,107.626953125,113.662109375,143.3349609375,0.03017578125,0.1483642578125,0.1785400390625,0.176025390625
186,1,86,1_86,106.1181640625,113.662109375,141.826171875,0.0377197265625,0.1408203125,0.1785400390625,0.1684814453125
187,1,87,1_87,105.615234375,112.65625,141.3232421875,0.035205078125,0.1433349609375,0.1785400390625,0.165966796875
188,1,88,1_88,106.1181640625,112.65625,143.3349609375,0.0326904296875,0.1533935546875,0.186083984375,0.1684814453125
189,1,89,1_89,104.609375,112.65625,147.3583984375,0.040234375,0.1735107421875,0.2137451171875,0.1609375
190,1,90,1_90,105.615234375,112.65625,142.83203125,0.035205078125,0.15087890625,0.186083984375,0.165966796875
191,1,91,1_91,104.609375,111.1474609375,142.83203125,0.0326904296875,0.1584228515625,0.19111328125,0.1609375
192,1,92,1_92,104.1064453125,110.64453125,143.3349609375,0.0326904296875,0.1634521484375,0.196142578125,0.1584228515625
193,1,93,1_93,103.603515625,110.64453125,142.83203125,0.035205078125,0.1609375,0.196142578125,0.155908203125
194,1,94,1_94,103.603515625,109.1357421875,140.8203125,0.0276611328125,0.1584228515625,0.186083984375,0.155908203125
195,1,95,1_95,103.1005859375,109.1357421875,139.814453125,0.03017578125,0.1533935546875,0.1835693359375,0.1533935546875
196,1,96,1_96,102.0947265625,108.6328125,138.80859375,0.0326904296875,0.15087890625,0.1835693359375,0.1483642578125
197,1,97,1_97,102.0947265625,108.6328125,139.814453125,0.0326904296875,0.155908203125,0.1885986328125,0.1483642578125
